,transacao_id,cliente_id,data_compra,valor_compra,meio_pagamento,campanha,idade,renda_mensal,cidade,tipo_cliente,ultima_compra,frequencia_compras,total_gasto
121,122,205,2022-05-02,47,boleto,dia_pais,54,4639,Belo Horizonte,frequente,273,12,5446
122,123,767,2022-05-03,227,cartão,sem_campanha,55,5350,Belo Horizonte,ocasional,348,9,1884
123,124,950,2022-05-04,141,cartão,dia_maes,22,6223,Salvador,ocasional,327,17,6043
124,125,11,2022-05-05,162,boleto,dia_maes,28,5116,Curitiba,ocasional,38,9,5170
125,126,949,2022-05-06,132,cartão,dia_maes,18,5461,Fortaleza,ocasional,333,10,3573
126,127,8,2022-05-07,205,boleto,natal,56,6322,Salvador,frequente,147,14,2385
127,128,409,2022-05-08,193,cartão,dia_pais,40,6230,Curitiba,ocasional,285,10,6728
128,129,936,2022-05-09,139,cartão,sem_campanha,46,5402,Rio de Janeiro,ocasional,340,8,6210
129,130,32,2022-05-10,235,cartão,sem_campanha,44,3638,Porto Alegre,ocasional,252,5,4769
130,131,984,2022-05-11,159,cartão,sem_campanha,31,5882,São Paulo,frequente,155,16,3018
131,132,540,2022-05-12,76,cartão,natal,48,4139,Porto Alegre,ocasional,12,10,7247
132,133,718,2022-05-13,155,cartão,black_friday,62,7046,Salvador,frequente,275,10,6467
133,134,387,2022-05-14,175,cartão,sem_campanha,63,5987,Belo Horizonte,ocasional,284,14,5670
134,135,228,2022-05-15,143,cartão,black_friday,66,7544,Belo Horizonte,ocasional,141,7,6026
135,136,640,2022-05-16,129,cartão,sem_campanha,58,6780,Fortaleza,premium,95,6,5590
136,137,767,2022-05-17,238,cartão,sem_campanha,55,5350,Belo Horizonte,ocasional,348,9,1884
137,138,475,2022-05-18,90,boleto,sem_campanha,69,5514,Brasília,ocasional,16,15,4452
138,139,724,2022-05-19,11,cartão,dia_pais,25,5060,Brasília,frequente,328,10,6818
139,140,751,2022-05-20,230,boleto,natal,64,4867,Brasília,frequente,11,11,5208
140,141,207,2022-05-21,88,cartão,sem_campanha,68,6066,São Paulo,ocasional,14,5,4572
141,142,318,2022-05-22,135,boleto,sem_campanha,55,5044,Belo Horizonte,frequente,256,16,4418
142,143,795,2022-05-23,131,cartão,natal,35,8478,Fortaleza,frequente,308,9,4227
143,144,757,2022-05-24,211,cartão,sem_campanha,18,5853,São Paulo,ocasional,313,10,5047
144,145,557,2022-05-25,221,cartão,dia_maes,41,5336,Rio de Janeiro,ocasional,57,7,5886
145,146,617,2022-05-26,85,cartão,volta_as_aulas,41,6374,Curitiba,ocasional,283,9,3256
146,147,348,2022-05-27,217,cartão,sem_campanha,29,4577,Manaus,frequente,54,13,5662
147,148,793,2022-05-28,216,cartão,natal,52,6819,Curitiba,ocasional,306,11,8086
148,149,234,2022-05-29,150,cartão,dia_maes,49,6654,Salvador,ocasional,187,12,5402
149,150,701,2022-05-30,196,cartão,black_friday,34,6377,Manaus,frequente,115,11,7173
150,151,44,2022-05-31,201,cartão,natal,24,2292,Manaus,ocasional,184,6,6297
151,152,737,2022-06-01,137,cartão,natal,62,3746,São Paulo,ocasional,309,4,4262
152,153,942,2022-06-02,142,cartão,dia_maes,22,3741,Curitiba,ocasional,343,11,3796
153,154,142,2022-06-03,179,pix,dia_maes,64,7018,Recife,frequente,220,9,4921
154,155,648,2022-06-04,68,cartão,sem_campanha,69,5493,Rio de Janeiro,ocasional,212,11,6454
155,156,176,2022-06-05,132,cartão,sem_campanha,68,4963,Fortaleza,frequente,166,14,2892
156,157,654,2022-06-06,89,cartão,volta_as_aulas,29,6446,Curitiba,ocasional,54,12,3591
157,158,449,2022-06-07,221,cartão,natal,68,4167,Salvador,ocasional,290,8,6293
158,159,592,2022-06-08,131,cartão,dia_maes,68,3075,Porto Alegre,premium,195,11,6315
159,160,82,2022-06-09,163,cartão,sem_campanha,48,4510,Belo Horizonte,ocasional,89,14,7000
160,161,135,2022-06-10,139,boleto,sem_campanha,57,5164,São Paulo,frequente,307,8,3849
161,162,719,2022-06-11,135,cartão,sem_campanha,30,5187,Recife,ocasional,230,9,3784
162,163,856,2022-06-12,160,cartão,black_friday,45,4546,Porto Alegre,ocasional,19,13,6352
163,164,177,2022-06-13,113,cartão,sem_campanha,39,5297,Rio de Janeiro,ocasional,337,10,5160
164,165,383,2022-06-14,140,cartão,ano_novo,54,4080,Salvador,premium,325,9,6463
165,166,243,2022-06-15,139,cartão,sem_campanha,49,5256,Fortaleza,ocasional,287,7,4645
166,167,567,2022-06-16,128,cartão,ano_novo,20,7214,Porto Alegre,ocasional,359,8,6086
167,168,141,2022-06-17,169,cartão,volta_as_aulas,54,7823,Fortaleza,ocasional,205,8,5203
168,169,457,2022-06-18,127,cartão,sem_campanha,32,5365,Porto Alegre,ocasional,147,13,5164
169,170,440,2022-06-19,230,cartão,sem_campanha,68,3460,São Paulo,frequente,338,10,2740
170,171,56,2022-06-20,181,pix,dia_maes,37,4423,São Paulo,ocasional,360,9,7038
171,172,527,2022-06-21,82,cartão,natal,65,6574,Manaus,ocasional,208,8,4689
172,173,697,2022-06-22,177,cartão,volta_as_aulas,62,3517,Fortaleza,ocasional,200,9,4108
173,174,826,2022-06-23,115,cartão,dia_maes,65,4986,Recife,ocasional,260,7,5497
174,175,419,2022-06-24,156,cartão,volta_as_aulas,60,5553,Brasília,frequente,30,8,4518
175,176,88,2022-06-25,113,boleto,sem_campanha,57,4472,São Paulo,frequente,214,10,5030
176,177,609,2022-06-26,40,boleto,ano_novo,66,4892,São Paulo,ocasional,15,6,2853
177,178,656,2022-06-27,148,cartão,sem_campanha,69,3158,Curitiba,premium,16,7,6393
178,179,8,2022-06-28,78,cartão,sem_campanha,56,6322,Salvador,frequente,147,14,2385
179,180,477,2022-06-29,170,cartão,sem_campanha,30,5854,São Paulo,ocasional,245,7,5270
180,181,215,2022-06-30,158,boleto,sem_campanha,58,5489,Fortaleza,ocasional,163,12,4384
181,182,685,2022-07-01,119,cartão,sem_campanha,59,7076,Recife,ocasional,275,13,4862
182,183,735,2022-07-02,241,boleto,volta_as_aulas,23,3989,Porto Alegre,premium,117,9,4418
183,184,552,2022-07-03,88,cartão,dia_pais,66,5970,Brasília,frequente,66,9,6433
184,185,497,2022-07-04,118,cartão,dia_pais,42,2624,São Paulo,ocasional,108,7,4857
185,186,694,2022-07-05,93,boleto,dia_pais,36,4578,São Paulo,ocasional,342,9,5278
186,187,503,2022-07-06,252,pix,dia_pais,22,4994,Manaus,ocasional,195,8,6118
187,188,782,2022-07-07,217,cartão,sem_campanha,44,3618,Manaus,ocasional,244,10,4359
188,189,699,2022-07-08,78,boleto,ano_novo,39,5269,Brasília,premium,346,8,3439
189,190,245,2022-07-09,108,boleto,dia_maes,28,5027,Fortaleza,frequente,246,11,3345
190,191,478,2022-07-10,110,boleto,sem_campanha,67,5671,Salvador,ocasional,107,5,4590
191,192,309,2022-07-11,122,pix,volta_as_aulas,37,5644,Rio de Janeiro,frequente,233,9,2643
192,193,231,2022-07-12,97,cartão,ano_novo,45,4182,Manaus,premium,239,9,3125
193,194,383,2022-07-13,119,cartão,sem_campanha,54,4080,Salvador,premium,325,9,6463
194,195,155,2022-07-14,200,boleto,sem_campanha,59,6234,Manaus,ocasional,40,11,5030
195,196,175,2022-07-15,247,cartão,dia_pais,24,5020,São Paulo,premium,145,12,3528
196,197,848,2022-07-16,72,cartão,sem_campanha,62,5899,Recife,frequente,87,9,4510
197,198,115,2022-07-17,97,cartão,natal,52,4595,Salvador,frequente,200,6,5087
198,199,390,2022-07-18,160,boleto,ano_novo,50,3802,Brasília,ocasional,175,8,5934
199,200,311,2022-07-19,70,cartão,dia_maes,50,5407,Belo Horizonte,ocasional,279,10,5056
200,201,993,2022-07-20,161,cartão,sem_campanha,64,3822,Porto Alegre,ocasional,323,6,4568
201,202,300,2022-07-21,177,cartão,dia_maes,54,2996,Salvador,ocasional,3,12,3748
202,203,18,2022-07-22,185,cartão,sem_campanha,39,2925,Manaus,ocasional,177,6,5330
203,204,784,2022-07-23,175,cartão,dia_maes,26,2879,Fortaleza,ocasional,87,6,4718
204,205,12,2022-07-24,123,cartão,sem_campanha,28,3708,Salvador,ocasional,119,12,5688
205,206,404,2022-07-25,140,cartão,sem_campanha,41,7770,Brasília,ocasional,21,14,5459
206,207,813,2022-07-26,91,boleto,dia_pais,38,5122,Salvador,ocasional,123,5,5495
207,208,704,2022-07-27,173,cartão,dia_pais,62,6411,Recife,ocasional,77,5,7200
208,209,232,2022-07-28,230,pix,sem_campanha,40,5598,Porto Alegre,frequente,324,10,4602
209,210,955,2022-07-29,173,cartão,black_friday,51,4626,Brasília,ocasional,278,4,2373
210,211,605,2022-07-30,115,pix,black_friday,54,6545,Manaus,premium,317,7,3989
211,212,990,2022-07-31,199,cartão,natal,68,4085,Salvador,premium,68,13,3488
212,213,730,2022-08-01,268,cartão,ano_novo,45,3960,Manaus,ocasional,324,9,4206
213,214,278,2022-08-02,162,cartão,natal,57,6050,São Paulo,ocasional,271,9,4100
214,215,353,2022-08-03,177,cartão,dia_maes,47,4947,Brasília,ocasional,18,13,3018
215,216,999,2022-08-04,183,cartão,sem_campanha,35,6083,Salvador,ocasional,25,8,7146
216,217,303,2022-08-05,69,cartão,black_friday,58,5839,Belo Horizonte,frequente,87,12,4658
217,218,541,2022-08-06,129,boleto,natal,27,4963,São Paulo,premium,73,13,3775
218,219,470,2022-08-07,124,cartão,sem_campanha,69,5528,Fortaleza,premium,194,13,6538
219,220,813,2022-08-08,191,pix,sem_campanha,38,5122,Salvador,ocasional,123,5,5495
220,221,77,2022-08-09,185,cartão,dia_pais,61,5591,São Paulo,ocasional,87,8,4268
221,222,521,2022-08-10,143,pix,black_friday,69,5089,Fortaleza,ocasional,225,14,5801
222,223,24,2022-08-11,121,cartão,ano_novo,19,4269,Recife,frequente,58,12,7649
223,224,15,2022-08-12,65,cartão,dia_maes,57,3444,Fortaleza,ocasional,68,12,4679
224,225,676,2022-08-13,149,cartão,sem_campanha,26,8378,Belo Horizonte,ocasional,364,11,5462
225,226,525,2022-08-14,102,boleto,sem_campanha,43,6342,Curitiba,ocasional,303,14,5720
226,227,347,2022-08-15,96,cartão,sem_campanha,65,4369,Porto Alegre,ocasional,298,11,7510
227,228,172,2022-08-16,196,cartão,sem_campanha,53,3340,Salvador,ocasional,17,6,6279
228,229,869,2022-08-17,191,cartão,volta_as_aulas,47,3244,Rio de Janeiro,frequente,246,6,3227
229,230,327,2022-08-18,125,cartão,sem_campanha,35,6883,Salvador,ocasional,314,9,4647
230,231,712,2022-08-19,71,cartão,sem_campanha,44,5479,Belo Horizonte,ocasional,267,11,4121
231,232,485,2022-08-20,108,cartão,ano_novo,43,3985,São Paulo,ocasional,95,12,5277
232,233,489,2022-08-21,199,boleto,black_friday,26,5192,Porto Alegre,ocasional,321,15,3082
233,234,462,2022-08-22,173,cartão,volta_as_aulas,61,4851,Belo Horizonte,frequente,339,11,3708
234,235,378,2022-08-23,126,boleto,natal,46,5949,Fortaleza,ocasional,17,8,5188
235,236,588,2022-08-24,152,cartão,sem_campanha,43,5519,Salvador,ocasional,164,14,4605
236,237,164,2022-08-25,46,cartão,sem_campanha,47,4590,Brasília,frequente,22,9,3150
237,238,372,2022-08-26,42,pix,sem_campanha,52,6783,Fortaleza,ocasional,191,11,8080
238,239,573,2022-08-27,248,cartão,sem_campanha,61,4174,Fortaleza,frequente,216,10,5215
239,240,1000,2022-08-28,175,cartão,sem_campanha,55,4440,São Paulo,premium,148,9,4609
240,241,977,2022-08-29,150,boleto,dia_maes,32,6934,Curitiba,ocasional,284,12,4967
241,242,424,2022-08-30,130,cartão,dia_pais,43,5069,Rio de Janeiro,ocasional,318,11,5669
242,243,757,2022-08-31,61,cartão,sem_campanha,18,5853,São Paulo,ocasional,313,10,5047
243,244,477,2022-09-01,199,cartão,sem_campanha,30,5854,São Paulo,ocasional,245,7,5270
244,245,382,2022-09-02,93,cartão,sem_campanha,58,7693,Recife,ocasional,8,12,4111
245,246,155,2022-09-03,185,cartão,dia_maes,59,6234,Manaus,ocasional,40,11,5030
246,247,257,2022-09-04,156,cartão,sem_campanha,50,7498,Porto Alegre,ocasional,125,10,6081
247,248,756,2022-09-05,147,cartão,sem_campanha,48,4169,São Paulo,frequente,235,11,4752
248,249,674,2022-09-06,84,boleto,dia_maes,64,6514,Curitiba,ocasional,163,8,6159
249,250,68,2022-09-07,85,cartão,sem_campanha,57,4094,Curitiba,ocasional,181,17,3791
250,251,344,2022-09-08,169,cartão,dia_pais,20,7180,Recife,ocasional,258,14,3805
251,252,277,2022-09-09,153,cartão,natal,35,3712,Recife,frequente,146,7,4149
252,253,673,2022-09-10,152,boleto,sem_campanha,35,7463,Salvador,frequente,188,10,7124
253,254,391,2022-09-11,164,boleto,natal,69,2931,Porto Alegre,ocasional,76,13,5359
254,255,449,2022-09-12,53,boleto,dia_maes,68,4167,Salvador,ocasional,290,8,6293
255,256,259,2022-09-13,200,boleto,sem_campanha,23,2238,Rio de Janeiro,frequente,286,15,9390
256,257,307,2022-09-14,132,cartão,sem_campanha,33,4894,Curitiba,frequente,113,14,5676
257,258,847,2022-09-15,208,cartão,dia_maes,68,3185,São Paulo,ocasional,346,11,5202
258,259,95,2022-09-16,49,cartão,sem_campanha,43,5353,Porto Alegre,premium,277,16,3489
259,260,950,2022-09-17,178,cartão,dia_maes,22,6223,Salvador,ocasional,327,17,6043
260,261,464,2022-09-18,177,cartão,sem_campanha,22,3394,Rio de Janeiro,ocasional,181,7,6530
261,262,970,2022-09-19,75,cartão,sem_campanha,43,7553,Belo Horizonte,frequente,134,8,6668
262,263,246,2022-09-20,118,cartão,dia_pais,34,5521,Fortaleza,ocasional,136,2,6230
263,264,733,2022-09-21,97,pix,natal,50,4557,Recife,ocasional,140,14,6850
264,265,635,2022-09-22,193,cartão,dia_pais,30,8605,São Paulo,frequente,291,10,4869
265,266,187,2022-09-23,165,cartão,natal,37,1023,Rio de Janeiro,ocasional,269,8,5462
266,267,774,2022-09-24,229,cartão,sem_campanha,43,3185,Fortaleza,ocasional,110,13,6687
267,268,925,2022-09-25,160,cartão,dia_pais,28,2867,Porto Alegre,ocasional,29,7,3857
268,269,785,2022-09-26,186,cartão,dia_maes,50,4833,Recife,ocasional,217,8,6678
269,270,373,2022-09-27,208,cartão,sem_campanha,66,7130,Belo Horizonte,frequente,63,12,3781
270,271,572,2022-09-28,177,cartão,dia_maes,60,5391,Belo Horizonte,frequente,146,3,2653
271,272,406,2022-09-29,130,cartão,ano_novo,49,4461,Fortaleza,premium,165,10,5778
272,273,408,2022-09-30,121,cartão,natal,39,6663,Brasília,ocasional,311,9,5257
273,274,125,2022-10-01,146,cartão,sem_campanha,25,3839,Brasília,ocasional,237,13,6285
274,275,337,2022-10-02,189,cartão,sem_campanha,50,5123,Fortaleza,ocasional,99,8,2371
275,276,341,2022-10-03,111,cartão,sem_campanha,37,8448,Porto Alegre,premium,173,9,6771
276,277,563,2022-10-04,182,cartão,black_friday,68,4741,Brasília,frequente,101,18,7838
277,278,178,2022-10-05,166,boleto,dia_maes,45,4783,Manaus,frequente,78,8,4521
278,279,651,2022-10-06,87,cartão,natal,33,7420,Manaus,ocasional,75,12,3866
279,280,952,2022-10-07,180,boleto,natal,29,4125,Porto Alegre,ocasional,327,14,3465
280,281,839,2022-10-08,157,pix,natal,27,5084,Curitiba,ocasional,222,14,3778
281,282,170,2022-10-09,122,pix,ano_novo,60,6689,Brasília,ocasional,175,9,4502
282,283,39,2022-10-10,156,boleto,ano_novo,61,2495,Belo Horizonte,frequente,304,8,5491
283,284,69,2022-10-11,124,boleto,sem_campanha,21,5129,Brasília,premium,44,8,6515
284,285,236,2022-10-12,162,cartão,volta_as_aulas,18,5225,Porto Alegre,ocasional,220,15,6795
285,286,560,2022-10-13,141,cartão,ano_novo,52,4311,Rio de Janeiro,frequente,285,12,4442
286,287,381,2022-10-14,73,cartão,sem_campanha,52,7321,Salvador,ocasional,292,7,5506
